Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
271875,SA_0000001445,COUNTRY,USA,YEAR,AMR,Americas,SEX,SEX_MLE,2004,,,,,,,5.5,5.5,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
7602051,SA_0000001445,COUNTRY,VNM,YEAR,WPR,Western Pacific,SEX,SEX_FMLE,2004,,,,,,,7.5,7.5,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
10049840,SA_0000001445,COUNTRY,CAF,YEAR,AFR,Africa,SEX,SEX_BTSX,2004,,,,,,,30,30.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
9162560,SA_0000001445,COUNTRY,HND,YEAR,AMR,Americas,SEX,SEX_BTSX,2004,,,,,,,6.2,6.2,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
9472978,SA_0000001445,COUNTRY,CAN,YEAR,AMR,Americas,,,2002,,,,,,,3.13,3.13,,,,2013-06-11T14:15:34+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
9815436,SA_0000001445,COUNTRY,VUT,YEAR,WPR,Western Pacific,SEX,SEX_FMLE,2004,,,,,,,7.8,7.8,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
5524539,SA_0000001445,COUNTRY,NOR,YEAR,EUR,Europe,,,2002,,,,,,,1.44,1.44,,,,2013-06-11T14:15:34+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
4370217,SA_0000001445,COUNTRY,SLB,YEAR,WPR,Western Pacific,SEX,SEX_MLE,2004,,,,,,,8.0,8.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
9327126,SA_0000001445,COUNTRY,SWZ,YEAR,AFR,Africa,SEX,SEX_FMLE,2004,,,,,,,6.4,6.4,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
6123220,SA_0000001445,COUNTRY,KIR,YEAR,WPR,Western Pacific,SEX,SEX_BTSX,2004,,,,,,,6,,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
3616851,SA_0000001445,COUNTRY,MYS,YEAR,WPR,Western Pacific,SEX,SEX_FMLE,2004,,,,,,,3.8,3.8,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
